Name of MALDI Data,X,Y,Z,Radii
0_R10X141Y204,-21.7549,37.6458,41.3719,1
0_R10X141Y205,-21.729,37.3195,41.1278,1
0_R10X142Y178,-21.6969,37.0435,41.1095,1
0_R10X142Y179,-21.7465,37.3613,41.3886,1
0_R10X142Y180,-21.7376,37.531,41.5417,1
0_R10X142Y181,-21.7155,37.7143,41.7161,1
0_R10X142Y182,-21.6493,37.9772,41.8717,1
0_R10X142Y183,-21.5442,38.2113,41.9728,1
0_R10X142Y184,-21.4943,38.3968,42.1599,1
0_R10X142Y185,-21.4792,38.6446,42.3494,1
0_R10X142Y186,-21.4477,38.8547,42.4492,1
0_R10X142Y187,-21.3756,39.0557,42.5511,1
0_R10X142Y188,-21.2788,39.2541,42.6538,1
0_R10X142Y189,-21.1312,39.5262,42.7225,1
0_R10X142Y191,-20.9705,39.7605,42.7873,1
0_R10X142Y192,-20.7676,40.0625,42.8245,1
0_R10X142Y193,-20.5529,40.4924,42.8438,1
0_R10X142Y194,-20.3486,40.9351,42.6266,1
0_R10X142Y195,-20.1197,41.2371,42.3746,1
0_R10X142Y196,-19.8857,41.2857,41.9427,1
0_R10X142Y197,-19.7116,41.3522,41.658,1
0_R10X142Y198,-19.5738,41.4056,41.3708,1
0_R10X142Y199,-19.4163,41.3143,41.0109,1
0_R10X142Y200,-19.2971,41.2731,40.7313,1
0_R10X142Y201,-19.2116,41.2814,40.5446,1
0_R10X142Y202,-19.1468,41.2277,40.38,1
0_R10X142Y203,-19.0662,41.1323,40.1902,1
0_R10X142Y204,-19.0022,41.0274,40.0059,1
0_R10X142Y205,-18.9516,40.9279,39.8538,1
0_R10X142Y216,-18.8951,40.8377,39.7182,1
0_R10X142Y217,-18.7859,40.6813,39.5393,1
0_R10X143Y175,-18.6816,40.6673,39.5398,1
0_R10X143Y176,-18.7154,40.8206,39.6594,1
0_R10X143Y177,-18.7571,40.9346,39.7926,1
0_R10X143Y178,-18.7943,41.065,39.9428,1
0_R10X143Y179,-18.8422,41.1342,40.0604,1
0_R10X143Y180,-18.8898,41.1937,40.1916,1
0_R10X143Y181,-18.943,41.2779,40.3466,1
0_R10X143Y182,-18.9926,41.3251,40.4536,1
0_R10X143Y183,-19.0221,41.3748,40.5788,1
0_R10X143Y184,-19.0692,41.383,40.6996,1
0_R10X143Y185,-19.12,41.3708,40.8069,1
0_R10X143Y186,-19.2021,41.3805,40.9998,1
0_R10X143Y187,-19.3063,41.5094,41.263,1
0_R10X143Y188,-19.3887,41.5634,41.4721,1
0_R10X143Y189,-19.4788,41.5417,41.6314,1
0_R10X143Y190,-19.5845,41.4746,41.807,1
0_R10X143Y191,-19.6899,41.4374,42.0341,1
0_R10X143Y192,-19.7809,41.4171,42.1631,1
0_R10X143Y193,-19.9288,41.365,42.3611,1
0_R10X143Y194,-20.0553,41.2799,42.5722,1
0_R10X143Y195,-20.2026,41.1126,42.712,1
0_R10X143Y196,-20.3494,40.8522,42.8578,1
0_R10X143Y197,-20.4874,40.5296,42.9942,1
0_R10X143Y198,-20.6185,40.2234,43.0078,1
0_R10X143Y199,-20.7459,39.991,42.9843,1
0_R10X143Y200,-20.9018,39.7703,42.9689,1
0_R10X143Y201,-21.0233,39.6049,42.9476,1
0_R10X143Y202,-21.1209,39.4584,42.9437,1
0_R10X143Y203,-21.2085,39.3265,42.884,1
0_R10X143Y204,-21.2778,39.2096,42.8033,1
0_R10X143Y205,-21.3808,38.9458,42.7264,1
0_R10X143Y213,-21.4386,38.6701,42.5794,1
0_R10X143Y214,-21.4475,38.3786,42.4023,1
0_R10X143Y215,-21.4962,38.1639,42.2404,1
0_R10X143Y216,-21.6123,37.8747,42.0903,1
0_R10X143Y217,-21.649,37.6618,41.9338,1
0_R10X143Y218,-21.6986,37.4645,41.7671,1
0_R10X143Y219,-21.7029,37.3106,41.599,1
0_R10X143Y220,-21.6968,37.1401,41.3703,1
0_R10X143Y221,-21.6932,37.0172,41.2314,1
0_R10X143Y222,-21.6519,36.9139,41.1381,1
0_R10X143Y223,-21.1973,37.0926,40.9233,1
0_R10X143Y224,-21.1207,37.0286,40.751,1
0_R10X143Y225,-20.9983,36.903,40.5479,1
0_R10X144Y173,-20.9554,36.7885,40.6146,1
0_R10X144Y174,-21.0575,36.895,40.8644,1
0_R10X144Y175,-21.1528,36.9736,41.057,1
0_R10X144Y176,-21.5958,36.8232,41.2436,1
0_R10X144Y177,-21.6221,36.9522,41.3725,1
0_R10X144Y178,-21.6307,37.0414,41.5222,1
0_R10X144Y179,-21.6586,37.1771,41.7143,1
0_R10X144Y180,-21.6319,37.3466,41.8842,1
0_R10X144Y181,-21.5452,37.5693,42.0587,1
0_R10X144Y182,-21.5483,37.7638,42.2317,1
0_R10X144Y183,-21.5231,37.9625,42.4276,1
0_R10X144Y184,-21.4124,38.231,42.5927,1
0_R10X144Y185,-21.4089,38.5814,42.7359,1
0_R10X144Y186,-21.371,38.8769,42.8865,1
0_R10X144Y187,-21.2861,39.1382,42.9651,1
0_R10X144Y188,-21.1993,39.3106,43.0144,1
0_R10X144Y189,-21.1215,39.4068,43.1118,1
0_R10X144Y190,-20.9846,39.6031,43.1007,1
0_R10X144Y191,-20.8427,39.7972,43.1065,1
0_R10X144Y192,-20.7188,39.971,43.1188,1
0_R10X144Y193,-20.593,40.1844,43.1547,1
0_R10X144Y194,-20.5251,40.324,43.168,1
0_R10X144Y195,-20.4483,40.499,43.1691,1
0_R10X144Y196,-20.3752,40.6985,43.1256,1
0_R10X144Y197,-20.3147,40.8516,43.081,1
0_R10X144Y198,-20.2279,41.0202,42.9986,1
0_R10X144Y199,-20.1273,41.158,42.8917,1
0_R10X144Y200,-20.0297,41.2692,42.7927,1
0_R10X144Y201,-19.9449,41.3575,42.6663,1
0_R10X144Y202,-19.8336,41.4485,42.4907,1
0_R10X144Y203,-19.701,41.5146,42.3323,1
0_R10X144Y204,-19.5845,41.5445,42.1515,1
0_R10X144Y205,-19.4681,41.5898,41.9455,1
0_R10X144Y211,-19.3736,41.6218,41.7102,1
0_R10X144Y212,-19.2679,41.6182,41.5052,1
0_R10X144Y213,-19.1543,41.5734,41.3082,1
0_R10X144Y214,-19.0767,41.508,41.1054,1
0_R10X144Y215,-19.0031,41.4685,40.9477,1
0_R10X144Y216,-18.9513,41.4727,40.8397,1
0_R10X144Y217,-18.9129,41.4595,40.7138,1
0_R10X144Y218,-18.8645,41.4369,40.582,1
0_R10X144Y219,-18.8044,41.3764,40.4362,1
0_R10X144Y220,-18.7343,41.3277,40.2963,1
0_R10X144Y221,-18.7302,41.2755,40.1975,1
0_R10X144Y222,-18.6871,41.2068,40.0288,1
0_R10X144Y223,-18.6281,41.1515,39.906,1
0_R10X144Y224,-18.5801,41.0323,39.7932,1
0_R10X144Y225,-18.5572,40.8815,39.6945,1
0_R10X144Y226,-18.5029,40.708,39.571,1
0_R10X144Y227,-18.4708,40.5558,39.4824,1
0_R10X145Y171,-18.2681,40.6002,39.5087,1
0_R10X145Y172,-18.2884,40.7874,39.6139,1
0_R10X145Y173,-18.2893,40.98,39.7289,1
0_R10X145Y174,-18.2842,41.1076,39.8071,1
0_R10X145Y175,-18.3356,41.2443,39.9054,1
0_R10X145Y176,-18.354,41.3442,40.0334,1
0_R10X145Y177,-18.4089,41.4024,40.1537,1
0_R10X145Y178,-18.4034,41.4571,40.2506,1
0_R10X145Y179,-18.4267,41.5047,40.3531,1
0_R10X145Y180,-18.481,41.5208,40.4314,1
0_R10X145Y181,-18.5028,41.5574,40.5366,1
0_R10X145Y182,-18.526,41.5927,40.65,1
0_R10X145Y183,-18.5488,41.6164,40.74,1
0_R10X145Y184,-18.5886,41.6396,40.8612,1
0_R10X145Y185,-18.6399,41.6479,40.9541,1
0_R10X145Y186,-18.677,41.6556,41.0348,1
0_R10X145Y187,-18.734,41.6679,41.1552,1
0_R10X145Y188,-18.8102,41.7013,41.3693,1
0_R10X145Y189,-18.9215,41.7381,41.6119,1
0_R10X145Y190,-18.9921,41.7508,41.7925,1
0_R10X145Y191,-19.1529,41.7421,42.0115,1
0_R10X145Y192,-19.363,41.7133,42.2724,1
0_R10X145Y193,-19.4913,41.6773,42.4797,1
0_R10X145Y194,-19.6229,41.6135,42.6607,1
0_R10X145Y195,-19.7508,41.5308,42.8338,1
0_R10X145Y196,-19.8737,41.3965,42.9506,1
0_R10X145Y197,-19.9977,41.2668,43.0897,1
0_R10X145Y198,-20.1229,41.1481,43.2405,1
0_R10X145Y199,-20.2127,40.9485,43.317,1
0_R10X145Y200,-20.2703,40.7638,43.3656,1
0_R10X145Y201,-20.3649,40.5295,43.3882,1
0_R10X145Y202,-20.4504,40.3552,43.3742,1
0_R10X145Y203,-20.5363,40.1831,43.3698,1
0_R10X145Y204,-20.6562,39.9806,43.3234,1
0_R10X145Y205,-20.7691,39.8201,43.3211,1
0_R10X145Y206,-20.9138,39.6152,43.3364,1
0_R10X145Y208,-21.0519,39.4241,43.3731,1
0_R10X145Y209,-21.1774,39.2662,43.2636,1
0_R10X145Y210,-21.2574,39.0888,43.2116,1
0_R10X145Y211,-21.3239,38.8701,43.1202,1
0_R10X145Y212,-21.3611,38.6023,43.0482,1
0_R10X145Y213,-21.3819,38.3119,42.9074,1
0_R10X145Y214,-21.4798,37.9833,42.7161,1
0_R10X145Y215,-21.5017,37.744,42.4901,1
0_R10X145Y216,-21.4748,37.6112,42.3074,1
0_R10X145Y217,-21.472,37.4583,42.1443,1
0_R10X145Y218,-21.5322,37.2945,42.0278,1
0_R10X145Y219,-21.5959,37.2232,41.9171,1
0_R10X145Y220,-21.6088,37.0281,41.7786,1
0_R10X145Y221,-21.5101,36.9055,41.5763,1
0_R10X145Y222,-21.386,36.8234,41.4275,1
0_R10X145Y223,-21.3514,36.7945,41.3034,1
0_R10X145Y224,-21.1322,36.8539,41.1566,1
0_R10X145Y225,-21.0335,36.8125,40.9948,1
0_R10X145Y226,-20.988,36.7781,40.8439,1
0_R10X145Y227,-20.922,36.6959,40.6941,1
0_R10X145Y228,-20.8661,36.6397,40.5684,1
0_R10X146Y170,-20.7968,36.4998,40.6282,1
0_R10X146Y171,-20.8711,36.5884,40.8093,1
0_R10X146Y172,-20.9261,36.6572,40.9793,1
0_R10X146Y173,-20.9844,36.7057,41.1202,1
0_R10X146Y174,-21.0605,36.7053,41.2786,1
0_R10X146Y175,-21.1658,36.7255,41.4664,1
0_R10X146Y176,-21.2148,36.7593,41.5953,1
0_R10X146Y177,-21.3231,36.8263,41.7571,1
0_R10X146Y178,-21.4302,36.9196,42.0054,1
0_R10X146Y179,-21.4315,37.0198,42.1415,1
0_R10X146Y180,-21.3939,37.1828,42.2443,1
0_R10X146Y181,-21.3679,37.3434,42.354,1
0_R10X146Y182,-21.3931,37.4565,42.5196,1
0_R10X146Y183,-21.414,37.5417,42.7053,1
0_R10X146Y184,-21.4411,37.7399,42.9487,1
0_R10X146Y185,-21.3713,38.1443,43.1558,1
0_R10X146Y186,-21.2763,38.4916,43.3474,1
0_R10X146Y187,-21.2293,38.8058,43.4339,1
0_R10X146Y188,-21.1754,39.0265,43.5257,1
0_R10X146Y189,-21.1224,39.2098,43.5605,1
0_R10X146Y190,-21.0581,39.3247,43.5836,1
0_R10X146Y191,-20.9434,39.4811,43.5811,1
0_R10X146Y192,-20.8129,39.6548,43.5864,1
0_R10X146Y193,-20.7149,39.8021,43.5607,1
0_R10X146Y194,-20.6209,39.9373,43.562,1
0_R10X146Y195,-20.555,40.0464,43.5568,1
0_R10X146Y196,-20.4302,40.2547,43.5953,1
0_R10X146Y197,-20.3659,40.3849,43.5899,1
0_R10X146Y198,-20.2933,40.549,43.5688,1
0_R10X146Y199,-20.1964,40.7524,43.5528,1
0_R10X146Y200,-20.1128,40.9488,43.5286,1
0_R10X146Y201,-20.0286,41.1606,43.4599,1
0_R10X146Y202,-19.8922,41.3388,43.3204,1
0_R10X146Y203,-19.7579,41.4851,43.1445,1
0_R10X146Y204,-19.6401,41.6083,43.0492,1
0_R10X146Y205,-19.4961,41.6904,42.8967,1
0_R10X146Y206,-19.3327,41.7703,42.7493,1
0_R10X146Y207,-19.1873,41.8237,42.5691,1
0_R10X146Y208,-18.9489,41.8471,42.2981,1
0_R10X146Y209,-18.7078,41.8552,42.0371,1
0_R10X146Y210,-18.6219,41.8485,41.817,1
0_R10X146Y211,-18.4902,41.8415,41.5733,1
0_R10X146Y212,-18.4184,41.796,41.3362,1
0_R10X146Y213,-18.3948,41.7639,41.1719,1
0_R10X146Y214,-18.363,41.7479,41.0526,1
0_R10X146Y215,-18.3387,41.7215,40.9162,1
0_R10X146Y216,-18.2989,41.6913,40.7721,1
0_R10X146Y217,-18.292,41.6412,40.6159,1
0_R10X146Y218,-18.2448,41.6078,40.5101,1
0_R10X146Y219,-18.1965,41.5559,40.3753,1
0_R10X146Y220,-18.1804,41.5018,40.2728,1
0_R10X146Y221,-18.1584,41.4305,40.1553,1
0_R10X146Y222,-18.1104,41.3602,40.0636,1
0_R10X146Y223,-18.1244,41.2407,39.9307,1
0_R10X146Y224,-18.0934,41.102,39.8217,1
0_R10X146Y225,-18.1011,40.9648,39.7241,1
0_R10X146Y226,-18.1001,40.8294,39.6398,1
0_R10X146Y227,-18.0961,40.705,39.5679,1
0_R10X146Y228,-18.0935,40.5694,39.4965,1
0_R10X147Y168,-17.8815,40.5651,39.5019,1
0_R10X147Y169,-17.844,40.6821,39.5706,1
0_R10X147Y170,-17.8417,40.8246,39.6619,1
0_R10X147Y171,-17.8258,40.9504,39.7522,1
0_R10X147Y172,-17.8183,41.0778,39.8522,1
0_R10X147Y173,-17.8106,41.2076,39.9673,1
0_R10X147Y174,-17.8032,41.3165,40.0846,1
0_R10X147Y175,-17.8124,41.4175,40.2047,1
0_R10X147Y176,-17.8427,41.4901,40.2998,1
0_R10X147Y177,-17.8393,41.5509,40.4023,1
0_R10X147Y178,-17.8413,41.6164,40.5381,1
0_R10X147Y179,-17.8843,41.6706,40.6586,1
0_R10X147Y180,-17.9186,41.7192,40.7839,1
0_R10X147Y181,-17.9315,41.757,40.9262,1
0_R10X147Y182,-17.9807,41.7858,41.0609,1
0_R10X147Y183,-18.0077,41.8179,41.2197,1
0_R10X147Y184,-18.041,41.8484,41.3533,1
0_R10X147Y185,-18.0881,41.8876,41.5541,1
0_R10X147Y186,-18.2247,41.9132,41.8697,1
0_R10X147Y187,-18.4202,41.9195,42.1303,1
0_R10X147Y188,-18.6658,41.9336,42.4121,1
0_R10X147Y189,-18.8944,41.9015,42.7084,1
0_R10X147Y190,-19.1072,41.8503,42.9111,1
0_R10X147Y191,-19.2676,41.7808,43.0922,1
0_R10X147Y192,-19.4157,41.6927,43.2511,1
0_R10X147Y193,-19.5713,41.5889,43.3816,1
0_R10X147Y194,-19.7218,41.4607,43.4969,1
0_R10X147Y195,-19.8638,41.2977,43.5732,1
0_R10X147Y196,-19.9642,41.1167,43.6297,1
0_R10X147Y197,-20.0316,40.9555,43.6556,1
0_R10X147Y198,-20.1278,40.744,43.682,1
0_R10X147Y199,-20.2193,40.556,43.7157,1
0_R10X147Y200,-20.3127,40.4007,43.7066,1
0_R10X147Y201,-20.3826,40.2659,43.7134,1
0_R10X147Y202,-20.47,40.0941,43.7234,1
0_R10X147Y203,-20.5476,39.964,43.7262,1
0_R10X147Y204,-20.6405,39.8241,43.7329,1
0_R10X147Y205,-20.738,39.67,43.7344,1
0_R10X147Y206,-20.8708,39.4483,43.7484,1
0_R10X147Y207,-20.9823,39.2603,43.7396,1
0_R10X147Y208,-21.0424,39.1382,43.7142,1
0_R10X147Y209,-21.0996,38.928,43.6654,1
0_R10X147Y210,-21.1633,38.6907,43.5904,1
0_R10X147Y211,-21.2207,38.4054,43.4981,1
0_R10X147Y212,-21.2869,38.1016,43.3526,1
0_R10X147Y213,-21.3483,37.6808,43.1747,1
0_R10X147Y214,-21.3219,37.4176,42.9821,1
0_R10X147Y215,-21.2929,37.2823,42.8255,1
0_R10X147Y216,-21.232,37.1442,42.6639,1
0_R10X147Y217,-21.1836,37.0192,42.518,1
0_R10X147Y218,-21.1591,36.9255,42.4117,1
0_R10X147Y219,-21.1052,36.7758,42.2258,1
0_R10X147Y220,-21.0029,36.6344,42.016,1
0_R10X147Y221,-20.9212,36.5569,41.7929,1
0_R10X147Y222,-20.9158,36.5595,41.647,1
0_R10X147Y223,-20.8358,36.4845,41.4828,1
0_R10X147Y224,-20.7911,36.4365,41.3048,1
0_R10X147Y225,-20.7585,36.3924,41.1695,1
0_R10X147Y226,-20.7097,36.3332,40.9806,1
0_R10X147Y227,-20.6456,36.2494,40.8438,1
0_R10X147Y228,-20.5855,36.1809,40.7502,1
0_R10X148Y167,-20.427,36.0289,40.885,1
0_R10X148Y168,-20.5229,36.1238,41.0282,1
0_R10X148Y169,-20.5968,36.1981,41.2064,1
0_R10X148Y170,-20.6577,36.2633,41.3882,1
0_R10X148Y171,-20.7157,36.3275,41.5712,1
0_R10X148Y172,-20.7713,36.3827,41.7184,1
0_R10X148Y173,-20.8288,36.4453,41.866,1
0_R10X148Y174,-20.846,36.4565,42.0281,1
0_R10X148Y175,-20.9304,36.5556,42.1852,1
0_R10X148Y176,-21.0655,36.7551,42.4458,1
0_R10X148Y177,-21.1198,36.9029,42.6088,1
0_R10X148Y178,-21.1943,37.0673,42.8076,1
0_R10X148Y179,-21.2434,37.2084,42.9618,1
0_R10X148Y180,-21.2701,37.3504,43.1143,1
0_R10X148Y181,-21.272,37.5851,43.3316,1
0_R10X148Y182,-21.2141,38.043,43.5477,1
0_R10X148Y183,-21.1611,38.377,43.6884,1
0_R10X148Y184,-21.0899,38.6483,43.7687,1
0_R10X148Y185,-21.0074,38.8706,43.8348,1
0_R10X148Y186,-20.9183,39.0871,43.8761,1
0_R10X148Y187,-20.8475,39.2263,43.9022,1
0_R10X148Y188,-20.7476,39.4168,43.9302,1
0_R10X148Y189,-20.6358,39.6349,43.9464,1
0_R10X148Y190,-20.5437,39.8282,43.9268,1
0_R10X148Y191,-20.4462,39.9685,43.9543,1
0_R10X148Y192,-20.3611,40.1282,43.9395,1
0_R10X148Y193,-20.2918,40.2557,43.9357,1
0_R10X148Y194,-20.2038,40.3864,43.9487,1
0_R10X148Y195,-20.0953,40.5644,43.9284,1
0_R10X148Y196,-19.9717,40.7428,43.9346,1
0_R10X148Y197,-19.8744,40.9588,43.9488,1
0_R10X148Y198,-19.8151,41.1387,43.9048,1
0_R10X148Y199,-19.7122,41.334,43.7771,1
0_R10X148Y200,-19.5672,41.496,43.6599,1
0_R10X148Y201,-19.4165,41.6296,43.5229,1
0_R10X148Y202,-19.2551,41.7395,43.3934,1
0_R10X148Y203,-19.1153,41.8238,43.1989,1
0_R10X148Y204,-18.9584,41.8789,42.9992,1
0_R10X148Y205,-18.778,41.9208,42.8376,1
0_R10X148Y206,-18.5249,42.0004,42.5838,1
0_R10X148Y207,-18.2567,41.969,42.2858,1
0_R10X148Y208,-18.0528,41.9537,42.0364,1
0_R10X148Y209,-17.9186,41.9235,41.7118,1
0_R10X148Y210,-17.8546,41.89,41.4605,1
0_R10X148Y211,-17.8422,41.8484,41.3072,1
0_R10X148Y212,-17.8379,41.8068,41.1428,1
0_R10X148Y213,-17.8342,41.7786,41.0118,1
0_R10X148Y214,-17.79,41.7371,40.8645,1
0_R10X148Y215,-17.7782,41.6806,40.7124,1
0_R10X148Y216,-17.7285,41.6245,40.5967,1
0_R10X148Y217,-17.7199,41.5658,40.4718,1
0_R10X148Y218,-17.6905,41.4922,40.3548,1
0_R10X148Y219,-17.7048,41.4065,40.2253,1
0_R10X148Y220,-17.6952,41.3149,40.1167,1
0_R10X148Y221,-17.6872,41.23,40.0265,1
0_R10X148Y222,-17.6827,41.105,39.9089,1
0_R10X148Y223,-17.6811,40.9824,39.8073,1
0_R10X148Y224,-17.6882,40.8864,39.7327,1
0_R10X148Y225,-17.7097,40.7965,39.6644,1
0_R10X148Y226,-17.7221,40.7093,39.6032,1
0_R10X148Y227,-17.7495,40.6254,39.5467,1
0_R10X148Y228,-17.7626,40.5425,39.4977,1
0_R10X149Y165,-17.5716,40.4799,39.4874,1
0_R10X149Y166,-17.5562,40.5198,39.5143,1
0_R10X149Y167,-17.5338,40.5798,39.557,1
0_R10X149Y168,-17.5061,40.6517,39.6113,1
0_R10X149Y169,-17.4748,40.7346,39.6796,1
0_R10X149Y170,-17.4376,40.8119,39.7491,1
0_R10X149Y171,-17.4522,40.9056,39.8163,1
0_R10X149Y172,-17.4435,41.0232,39.9199,1
0_R10X149Y173,-17.4413,41.1236,40.0156,1
0_R10X149Y174,-17.475,41.2286,40.1096,1
0_R10X149Y175,-17.4759,41.3292,40.2256,1
0_R10X149Y176,-17.4775,41.4304,40.3614,1
0_R10X149Y177,-17.528,41.5108,40.4661,1
0_R10X149Y178,-17.5502,41.5828,40.5908,1
0_R10X149Y179,-17.5843,41.6557,40.7354,1
0_R10X149Y180,-17.6073,41.7201,40.8895,1
0_R10X149Y181,-17.6414,41.7642,41.0109,1
0_R10X149Y182,-17.6409,41.8045,41.1495,1
0_R10X149Y183,-17.6625,41.8487,41.3001,1
0_R10X149Y184,-17.7057,41.9029,41.4905,1
0_R10X149Y185,-17.7809,41.9415,41.7483,1
0_R10X149Y186,-17.8963,41.979,42.0836,1
0_R10X149Y187,-18.1142,42.006,42.3923,1
0_R10X149Y188,-18.3504,42.0496,42.7398,1
0_R10X149Y189,-18.5968,41.956,43.0193,1
0_R10X149Y190,-18.7645,41.9012,43.1754,1
0_R10X149Y191,-18.9125,41.8607,43.402,1
0_R10X149Y192,-19.0631,41.7838,43.6217,1
0_R10X149Y193,-19.2099,41.6848,43.7358,1
0_R10X149Y194,-19.3998,41.5311,43.8933,1
0_R10X149Y195,-19.5821,41.3774,44.0362,1
0_R10X149Y196,-19.7366,41.2642,44.1869,1
0_R10X149Y197,-19.8063,41.1245,44.286,1
0_R10X149Y198,-19.8643,40.78,44.144,1
0_R10X149Y199,-19.9765,40.5546,44.1647,1
0_R10X149Y200,-20.0939,40.3589,44.199,1
0_R10X149Y201,-20.1754,40.2273,44.1856,1
0_R10X149Y202,-20.2543,40.0928,44.1756,1
0_R10X149Y203,-20.3469,39.9351,44.1587,1
0_R10X149Y204,-20.4401,39.7707,44.1406,1
0_R10X149Y205,-20.5569,39.5725,44.1131,1
0_R10X149Y206,-20.6565,39.3926,44.0822,1
0_R10X149Y207,-20.7743,39.1971,44.0341,1
0_R10X149Y208,-20.87,39.0161,43.9965,1
0_R10X149Y209,-20.9549,38.8057,43.9856,1
0_R10X149Y210,-21.0424,38.5946,43.9719,1
0_R10X149Y211,-21.1239,38.3188,43.8985,1
0_R10X149Y212,-21.181,37.9668,43.776,1
0_R10X149Y213,-21.2127,37.525,43.5342,1
0_R10X149Y214,-21.2216,37.3549,43.3676,1
0_R10X149Y215,-21.1789,37.1288,43.1763,1
0_R10X149Y216,-21.1367,36.9784,42.9937,1
0_R10X149Y217,-21.0742,36.8256,42.797,1
0_R10X149Y218,-21.0212,36.7063,42.6146,1
0_R10X149Y219,-20.9172,36.5421,42.4019,1
0_R10X149Y220,-20.8357,36.4347,42.2498,1
0_R10X149Y221,-20.7622,36.3552,42.1027,1
0_R10X149Y222,-20.7177,36.3104,41.9528,1
0_R10X149Y223,-20.6634,36.2574,41.7951,1
0_R10X149Y224,-20.6123,36.2083,41.6459,1
0_R10X149Y225,-20.5588,36.155,41.4506,1
0_R10X149Y226,-20.5009,36.1048,41.3009,1
0_R10X149Y227,-20.4606,36.0669,41.1731,1
0_R10X149Y228,-20.3919,36.0032,41.0438,1
0_R10X149Y229,-20.3132,35.934,40.9279,1
0_R10X150Y165,-20.0936,35.7717,41.0582,1
0_R10X150Y166,-20.1808,35.8474,41.2565,1
0_R10X150Y167,-20.2331,35.894,41.4187,1
0_R10X150Y168,-20.2952,35.9424,41.5876,1
0_R10X150Y169,-20.3523,35.9844,41.7365,1
0_R10X150Y170,-20.4075,36.0282,41.8858,1
0_R10X150Y171,-20.4754,36.075,42.0564,1
0_R10X150Y172,-20.5302,36.1135,42.1989,1
0_R10X150Y173,-20.5788,36.1555,42.3569,1
0_R10X150Y174,-20.6545,36.223,42.5366,1
0_R10X150Y175,-20.7339,36.3007,42.6703,1
0_R10X150Y176,-20.8203,36.4151,42.8374,1
0_R10X150Y177,-20.9041,36.5605,43.0386,1
0_R10X150Y178,-20.9534,36.6733,43.2329,1
0_R10X150Y179,-21.0338,36.8836,43.4306,1
0_R10X150Y180,-21.0813,37.0544,43.5888,1
0_R10X150Y181,-21.0931,37.2514,43.8091,1
0_R10X150Y182,-21.0466,37.7226,44.063,1
0_R10X150Y183,-20.9479,38.1382,44.1951,1
0_R10X150Y184,-20.9111,38.4973,44.2963,1
0_R10X150Y185,-20.8164,38.7398,44.3213,1
0_R10X150Y186,-20.7307,38.9966,44.284,1
0_R10X150Y187,-20.6066,39.2089,44.3213,1
0_R10X150Y188,-20.5268,39.314,44.369,1
0_R10X150Y189,-20.4248,39.471,44.4013,1
0_R10X150Y190,-20.307,39.6437,44.4483,1
0_R10X150Y191,-20.1994,39.8455,44.4858,1
0_R10X150Y192,-20.1393,40.0013,44.4766,1
0_R10X150Y193,-20.0604,40.1857,44.4631,1
0_R10X150Y194,-19.9555,40.3828,44.4563,1
0_R10X150Y195,-19.8337,40.5622,44.4489,1
0_R10X150Y196,-19.7129,40.7955,44.3764,1
0_R10X150Y197,-19.6004,41.0489,44.4237,1
0_R10X150Y198,-19.5163,41.2354,44.4098,1
0_R10X150Y199,-19.4368,41.4058,44.2802,1
0_R10X150Y200,-19.2547,41.5661,44.1166,1
0_R10X150Y201,-19.1004,41.6991,43.9314,1
0_R10X150Y202,-18.9441,41.8044,43.8062,1
0_R10X150Y203,-18.7815,41.8862,43.6549,1
0_R10X150Y204,-18.6215,41.935,43.4319,1
0_R10X150Y205,-18.4706,41.9854,43.2015,1
0_R10X150Y206,-18.2246,42.0829,42.9499,1
0_R10X150Y207,-17.9387,42.0763,42.6295,1
0_R10X150Y208,-17.7025,42.0395,42.3183,1
0_R10X150Y209,-17.5778,41.998,41.993,1
0_R10X150Y210,-17.4573,41.9247,41.6592,1
0_R10X150Y211,-17.4114,41.8462,41.3927,1
0_R10X150Y212,-17.3808,41.7993,41.2634,1
0_R10X150Y213,-17.3486,41.7472,41.1345,1
0_R10X150Y214,-17.373,41.7115,41.0141,1
0_R10X150Y215,-17.3446,41.6478,40.8565,1
0_R10X150Y216,-17.354,41.5788,40.6931,1
0_R10X150Y217,-17.3317,41.501,40.5568,1
0_R10X150Y218,-17.2919,41.4191,40.4489,1
0_R10X150Y219,-17.2529,41.3033,40.3249,1
0_R10X150Y220,-17.2556,41.2101,40.2074,1
0_R10X150Y221,-17.2478,41.105,40.0975,1
0_R10X150Y222,-17.2485,40.9969,39.9905,1
0_R10X150Y223,-17.2317,40.8821,39.8951,1
0_R10X150Y224,-17.2383,40.7825,39.8126,1
0_R10X150Y225,-17.2699,40.711,39.7436,1
0_R10X150Y226,-17.3352,40.618,39.6463,1
0_R10X150Y227,-17.3596,40.5566,39.5939,1
0_R10X150Y228,-17.3851,40.5122,39.5549,1
0_R10X150Y229,-17.3963,40.4639,39.52,1
0_R10X151Y165,-17.1157,40.3404,39.5716,1
0_R10X151Y166,-17.0919,40.3717,39.6086,1
0_R10X151Y167,-17.0731,40.4039,39.6438,1
0_R10X151Y168,-17.0436,40.4451,39.6919,1
0_R10X151Y169,-17.0226,40.5034,39.7463,1
0_R10X151Y170,-16.9935,40.5865,39.8231,1
0_R10X151Y171,-16.9595,40.6672,39.9046,1
0_R10X151Y172,-16.9538,40.8336,40.0386,1
0_R10X151Y173,-16.9624,40.9642,40.1591,1
