Name of MALDI Data,X,Y,Z,Radii
0_R00X075Y139,-8.4927,31.3054,48.3927,1
0_R00X075Y140,-8.5206,31.2948,48.4465,1
0_R00X075Y141,-8.5609,31.2802,48.5279,1
0_R00X075Y142,-8.593,31.2625,48.6022,1
0_R00X075Y143,-8.6313,31.2509,48.6842,1
0_R00X075Y144,-8.6816,31.2234,48.8176,1
0_R00X075Y145,-8.7444,31.1915,48.9729,1
0_R00X075Y146,-8.7823,31.1754,49.0827,1
0_R00X075Y147,-8.8078,31.1718,49.1473,1
0_R00X075Y148,-8.8495,31.1619,49.2584,1
0_R00X075Y149,-8.8954,31.1261,49.3718,1
0_R00X075Y150,-8.9424,31.1207,49.4433,1
0_R00X075Y151,-8.9861,31.1102,49.5111,1
0_R00X075Y152,-9.0297,31.0911,49.551,1
0_R00X075Y153,-9.113,31.0664,49.6118,1
0_R00X075Y154,-9.2024,31.0468,49.6728,1
0_R00X075Y155,-9.2867,31.0079,49.7275,1
0_R00X075Y156,-9.3631,30.983,49.7793,1
0_R00X075Y157,-9.452,30.9521,49.8388,1
0_R00X075Y158,-9.5617,30.9147,49.9097,1
0_R00X075Y159,-9.6564,30.8765,49.9469,1
0_R00X075Y160,-9.7562,30.8346,49.9775,1
0_R00X075Y161,-9.8515,30.8006,49.9953,1
0_R00X075Y162,-9.9643,30.7192,49.9871,1
0_R00X076Y118,-10.3891,30.895,50.2649,1
0_R00X076Y119,-10.2806,30.9513,50.256,1
0_R00X076Y120,-10.2223,30.9797,50.2454,1
0_R00X076Y121,-10.1239,31.0237,50.2215,1
0_R00X076Y122,-10.0409,31.0589,50.1973,1
0_R00X076Y123,-9.984,31.0816,50.1786,1
0_R00X076Y124,-9.8992,31.1257,50.1517,1
0_R00X076Y125,-9.8135,31.1602,50.1168,1
0_R00X076Y126,-9.7506,31.1905,50.0897,1
0_R00X076Y127,-9.6891,31.2142,50.0591,1
0_R00X076Y128,-9.6226,31.2403,50.0211,1
0_R00X076Y129,-9.5574,31.2641,49.9805,1
0_R00X076Y130,-9.5133,31.2809,49.9513,1
0_R00X076Y131,-9.4422,31.3191,49.9025,1
0_R00X076Y132,-9.3657,31.3476,49.8406,1
0_R00X076Y133,-9.3132,31.375,49.7955,1
0_R00X076Y134,-9.2631,31.3936,49.7495,1
0_R00X076Y135,-9.2028,31.438,49.6936,1
0_R00X076Y136,-9.1712,31.4527,49.6578,1
0_R00X076Y137,-9.124,31.4662,49.6021,1
0_R00X076Y138,-9.0784,31.483,49.504,1
0_R00X076Y139,-9.0302,31.4958,49.3885,1
0_R00X076Y140,-9.007,31.5198,49.3155,1
0_R00X076Y141,-8.9747,31.5336,49.2282,1
